,coef,se,z,p,OR
Intercept,-7.877737505752819,3.994097903405983,-1.9723446185520508,0.04857027937277515,0.00037908977569303985
F3_BRI,-3.2677246698515865,1.239966167820791,-2.6353337330118687,0.008405459446104428,0.038093002701246916
F4_301,3.04684703063742,1.2585126146637293,2.4209904574151033,0.015478283592508104,21.048873234372934
Y,0.029760078170653844,0.04820051344265716,0.6174224306979343,0.5369561306963115,1.0302073350720624
EU_in_sample,26.026848713979973,34883.415066050526,0.000746109538435358,0.9994046907738474,201055879529.89975
F4_Stance,3.368504662187538,1.4499250851481478,2.323226694049063,0.020166977469308206,29.03507733086292
