,Y2_Deal,china_flag,F1_Surplus_B,F1_ExpDep,F1_Lobby_M,F1_FX_Watch,F2_Ally,F2_Rival,F2_Dist,F2_Bases,F2_UNVote,F2_Polity,F3_BRI,F3_RCEP,F3_ChinaDep,F3_TiVA,F4_301,F4_Retaliate,F4_Stance
count,68.0,68.0,0.0,0.0,0.0,68.0,68.0,68.0,68.0,68.0,0.0,0.0,68.0,68.0,0.0,0.0,68.0,68.0,68.0
mean,0.485,0.015,,,,0.103,0.353,0.044,9613.063,4.221,,,0.618,0.162,,,0.191,0.324,2.162
std,0.503,0.121,,,,0.306,0.481,0.207,3366.987,20.566,,,0.49,0.371,,,0.396,0.471,0.409
min,0.0,0.0,,,,0.0,0.0,0.0,2933.4,0.0,,,0.0,0.0,,,0.0,0.0,1.0
25%,0.0,0.0,,,,0.0,0.0,0.0,6922.15,0.0,,,0.0,0.0,,,0.0,0.0,2.0
50%,0.0,0.0,,,,0.0,0.0,0.0,9514.2,0.0,,,1.0,0.0,,,0.0,0.0,2.0
75%,1.0,0.0,,,,0.0,1.0,0.0,12770.325,0.0,,,1.0,0.0,,,0.0,1.0,2.0
max,1.0,1.0,,,,1.0,1.0,1.0,16358.4,120.0,,,1.0,1.0,,,1.0,1.0,3.0
