,Y_Annex_Rate,Y_Final_Rate,Y_Pre,Y_Change_Main,Y_Change_Final,Y_China_Flag,Y_In_AnnexI,Y2_Deal,F2_Ally,F2_Rival,F2_Dist,F2_Bases,F1_FX_Watch,F2_UNVote,F2_Polity,F3_BRI,F3_RCEP,F3_ChinaDep,F3_TiVA,F4_301,F4_Retaliate,F4_Stance,F4_Purchase,F4_Invest,F1_Lobby_M,F1_Surplus_B,F1_ExpDep,F1_ManufShare,F1_HSCode
count,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,0.0,0.0,104.0,104.0,0.0,0.0,104.0,104.0,104.0,104.0,104.0,0.0,0.0,0.0,0.0,0.0
mean,20.53,19.62,3.22,17.31,16.4,0.01,0.65,0.36,0.25,0.02,8948.6,3.18,0.08,,,0.67,0.13,,,0.23,0.2,2.16,5.29,18.75,,,,,
std,11.19,11.39,1.81,10.99,11.3,0.1,0.48,0.48,0.44,0.14,3716.21,16.77,0.27,,,0.47,0.34,,,0.42,0.4,0.4,53.93,115.58,,,,,
min,10.0,10.0,0.5,5.0,5.0,0.0,0.0,0.0,0.0,0.0,732.62,0.0,0.0,,,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,,,,,
25%,10.0,10.0,3.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,6333.42,0.0,0.0,,,0.0,0.0,,,0.0,0.0,2.0,0.0,0.0,,,,,
50%,20.0,15.0,3.4,16.6,11.6,0.0,1.0,0.0,0.0,0.0,8325.16,0.0,0.0,,,1.0,0.0,,,0.0,0.0,2.0,0.0,0.0,,,,,
75%,27.25,27.25,3.4,23.52,23.7,0.0,1.0,1.0,0.25,0.0,12069.94,0.0,0.0,,,1.0,0.0,,,0.0,0.0,2.0,0.0,0.0,,,,,
max,50.0,50.0,19.3,46.6,46.6,1.0,1.0,1.0,1.0,1.0,16358.39,120.0,1.0,,,1.0,1.0,,,1.0,1.0,3.0,550.0,1000.0,,,,,
