,coef,se,z,p,OR
Intercept,-0.8429751375790742,1.854609689437005,-0.45452967402266303,0.6494476390074309,0.4304280339648341
F2_Ally,29.370482465271117,947280.1237898458,3.100506569035429e-05,0.999975261536783,5694275371269.89
F2_Rival,-25.69004691930431,318887.9148425316,-8.056136881822625e-05,0.9999357213276924,6.9655334655471776e-12
F3_BRI,-2.1751691140506644,1.1128034159064224,-1.9546750872245509,0.050621432390364055,0.11358894256018813
F4_301,2.396820411003688,0.9708920466286043,2.4686785923590375,0.013561296243837643,10.988182872285764
F4_Retaliate,4.151223223304927,322627.7550742641,1.2866912898889861e-05,0.999989733688853,63.51164172233143
Y,0.015337730373320695,0.047236033888921065,0.32470402594317027,0.7454050873698829,1.0154559570293265
