,coef,se,t,p,ci_lo,ci_hi
Intercept,37.58854332429798,35.74985254005096,1.0514321221937102,0.2930601691537412,-32.47988010681967,107.65696675541562
F2_Ally,-14.587264734080794,5.501857170305549,-2.6513346825524153,0.008017435134824662,-25.370706635963124,-3.8038228321984615
F2_Rival,-8.7312977172154,5.563791639980466,-1.5693070988628997,0.11657639900080312,-19.636128949062154,2.173533514631357
log_dist,0.32086497031985095,4.296847744480238,0.07467450312430465,0.9404736945773449,-8.10080185591358,8.742531796553283
F3_BRI,-4.006555857149003,2.183423586105307,-1.8349878982006043,0.06650748258453107,-8.285987448910694,0.272875734612688
F3_RCEP,11.896410928355285,4.550452599418418,2.614335754178768,0.008940113332555217,2.9776877201385172,20.815134136572055
F4_301,-3.0065564955965094,3.548086337580145,-0.8473741080514495,0.3967866315991152,-9.960677931292217,3.9475649400991983
F4_Retaliate,2.628543274986485,5.3906480268673045,0.4876117420179674,0.6258248769012515,-7.936932711005337,13.194019260978308
F4_Stance,-3.967676815903679,4.5612143761476895,-0.8698729085508801,0.38436986210846646,-12.907492718919482,4.972139087112123
