,coef,se,t,p,ci_lo,ci_hi
Intercept,-40.80532271967782,22.38549342584637,-1.8228466955552496,0.06832661311400777,-84.68008361049485,3.0694381711392182
F2_Ally,-9.541264000642638,3.141712404483822,-3.0369628954660004,0.0023897487032946137,-15.698907163213665,-3.3836208380716117
F2_Rival,5.977281512493249,3.5672781113914325,1.6755860703447605,0.0938192991475304,-1.0144551086720215,12.969018133658519
log_dist,7.102870212429286,2.5534950394363682,2.7816267910185952,0.005408719871237356,2.098111900432319,12.107628524426254
F3_BRI,-6.411844147475277,2.877158862215277,-2.228533235227219,0.025844977614697,-12.05097189521746,-0.7727163997330937
F3_RCEP,9.189184454391043,4.491099776568478,2.046087798435028,0.04074773324928601,0.38679064134094254,17.99157826744114
F4_301,-4.745827176721013,2.4295423952852806,-1.9533831498189398,0.05077421135187949,-9.507642770393339,0.0159884169513127
F4_Retaliate,4.524068722882215,2.4409335534177665,1.853417401120021,0.06382255510004993,-0.26007313047198366,9.308210576236414
