,coef,se,t,p,ci_lo,ci_hi
Intercept,26.4197516188932,30.994283070705695,0.8524072506733953,0.3939880972438916,-34.327926926329475,87.16743016411587
F2_Ally,-5.61673597210964,3.3568342911518156,-1.6732240810678785,0.09428319141576941,-12.196010284836241,0.9625383406169608
log_dist,2.9784136749067525,3.2711558960973766,0.9105080190339209,0.36255465462542646,-3.432934069259953,9.389761419073459
F3_BRI,-4.00900385485515,2.2798348350742152,-1.7584624084071623,0.07866886238324206,-8.477398022300427,0.4593903125901262
F3_RCEP,10.767201367974902,3.4481448755684454,3.1226070123285847,0.0017925692550489474,4.008961598384403,17.5254411375654
EU_in_sample,4.448760365235479,2.5658005576465537,1.733868344512344,0.08294144569605083,-0.5801163192645529,9.477637049735511
F4_301,-5.589127072337787,2.947601367318912,-1.8961611072332898,0.05793874429106849,-11.366319593063873,0.18806544838829886
F4_Retaliate,-11.002395978458,4.206765530331905,-2.6154050895225276,0.008912168625092582,-19.247504909313076,-2.757287047602926
F4_Stance,-10.388939059863276,4.507363630756507,-2.30488150300836,0.021173210814711258,-19.223209441371722,-1.5546686783548278
