,coef,se,t,p,ci_lo,ci_hi
Intercept,25.930438064180546,31.155139485858825,0.832300496550505,0.4052393504128172,-35.13251326142449,86.99338938978558
F2_Ally,-5.771167195612816,3.53570516571346,-1.6322535180753026,0.1026260907738541,-12.701021980363421,1.1586875891377888
log_dist,3.0048077463747367,3.292222883521303,0.912698760893384,0.361400995800942,-3.4478305344056226,9.457446027155097
F3_BRI,-3.943028276103456,2.2979999326647436,-1.7158522156835532,0.0861890944321777,-8.447025380601822,0.5609688283949104
F3_RCEP,10.781730833145797,3.7590310391874,2.8682207517702527,0.004127874098985724,3.4141653795703215,18.149296286721274
F4_301,-5.596840923799654,2.992040339835037,-1.8705766928624465,0.06140377763907322,-11.46113223016731,0.26745038256800235
F4_Retaliate,-6.575754267612183,4.345363115830941,-1.5132807299016104,0.1302083653834677,-15.092509474389578,1.941000939165212
F4_Stance,-10.295216172493557,4.582147340138827,-2.2468103725755877,0.02465214858244096,-19.276059931021663,-1.314372413965451
