,coef,se,t,p,ci_lo,ci_hi
Intercept,26.045512126796567,30.391695209285622,0.8569943844013953,0.39144798813536474,-33.52111591252175,85.61214016611488
F2_Ally,-5.286922051931689,3.141683473524012,-1.6828309078512522,0.0924078298747006,-11.44450851086345,0.8706644070000715
log_dist,2.937180832229566,3.2343319454772645,0.9081259690542214,0.363811671509486,-3.4019932949532388,9.27635495941237
F3_BRI,-4.019288055259993,2.278090439233594,-1.7643233060633805,0.07767756228484192,-8.48426326968287,0.44568715916288326
F3_RCEP,10.275266725795953,3.3650848045540025,3.053494138361783,0.0022619314072340325,3.679821703947102,16.870711747644805
F4_301,-5.7154098176316,2.9414241756132298,-1.9430756927263129,0.052007013449776325,-11.48049526508895,0.04967562982574947
F4_Retaliate,-7.2593345083574725,3.8564006387265746,-1.8824119142233582,0.05978010949986544,-14.81774087021882,0.29907185350387433
F4_Stance,-9.97948019340352,4.2970156694079495,-2.322421178133267,0.02021026809905339,-18.401476146447372,-1.557484240359667
