,coef,se,t,p,ci_lo,ci_hi
Intercept,41.54443165715776,36.37055181553438,1.1422546423783855,0.2533481889063073,-29.740539999137496,112.82940331345301
F2_Ally,-5.834590593744461,3.423532945344435,-1.7042600982352907,0.0883325059529362,-12.544591866505886,0.8754106790169649
F2_Rival,-5.921047774902119,4.711730203582813,-1.2566610393777933,0.20887640170666044,-15.15586927879401,3.313773728989771
log_dist,1.2033374781295976,3.960223940759801,0.3038559172738922,0.7612376636703931,-6.558558816472897,8.965233772732091
F3_BRI,-3.2861712347604577,2.4489966464500226,-1.3418439096370236,0.1796466115940617,-8.086116460061874,1.5137739905409582
F3_RCEP,11.11057747293709,3.6504610193001534,3.0436094000716514,0.002337584303673978,3.955805348141414,18.265349597732765
F4_301,-4.892863189121929,3.1375905474277643,-1.5594333024534253,0.11889385929368018,-11.04242766031366,1.2567012820698018
F4_Retaliate,-6.734846728571025,4.043806596021392,-1.665472017182346,0.09581862189211565,-14.660562017218465,1.1908685600764155
F4_Stance,-10.071634752054392,4.494467074919171,-2.240896325230177,0.025032791346382803,-18.88062834859705,-1.2626411555117318
